Product,Review,Rating,Person
tv,So good 4k moodREAD MORE,5,Mannu Choudhary
tv,Beautiful TV. Picture quality very good..READ MORE,5,Flipkart Arijit Dutta
tv,Good product.READ MORE,4,Gururaj M
tv,Value for moneyPicture quality is very good and clearSound quality is amazingConnectivity is goodTv look was smartI give 5star rating this tvREAD MORE,5,y sunil
tv,just to say for this..less price  value of product as compared to this product .picture and sound quality awesome..am just love it .Ty MIREAD MORE,4,Sandeep Wagh
tv,WonderfulREAD MORE,5,Bablu Kumar Gupta
tv,"Great picture quality at affordable price, sound quality is an outlier in otherwise perfect product.I'm really impressed with the specifications and price. tested and amazed with picture quality as well. interface is smooth and easy to hands-on. app references are given but you have to download all of them as you wish. cons: one and only disappointment. Sound. .sound quality is below par. equalisation definitely has some issue, you need to have remote in hand all the time to control e...READ MORE",4,Gopi Krishna
tv,Very GoodREAD MORE,5,Joy Thalikulam
tv,"Awesome product,value for money.Love you MI.READ MORE",5,Prashanth Kumar
tv,"I ordered on friday, and got the product delivered on sunday plus the installation was also done in the evening. Very great ful experience. Picture quality is superb. I mean u wont feel a difference if u run a normal video, go for UHD or 4k videos or atleast Full HD videos. Sound was loud, good. And I didnt faced any connectivity issues yet, I connected the TV with wifi and the Netflix and youtube was smooth. Patch wall 2.0 is quite nice feature. I recommend this TV. Thanks flipkart!READ MORE",5,Shubham Kumar
tv,Beautiful TV. Picture quality very good..READ MORE,5,Flipkart Arijit Dutta
tv,So good 4k moodREAD MORE,5,Mannu Choudhary
tv,Good product.READ MORE,4,Gururaj M
tv,Value for moneyPicture quality is very good and clearSound quality is amazingConnectivity is goodTv look was smartI give 5star rating this tvREAD MORE,5,y sunil
tv,just to say for this..less price  value of product as compared to this product .picture and sound quality awesome..am just love it .Ty MIREAD MORE,4,Sandeep Wagh
tv,WonderfulREAD MORE,5,Bablu Kumar Gupta
tv,"Great picture quality at affordable price, sound quality is an outlier in otherwise perfect product.I'm really impressed with the specifications and price. tested and amazed with picture quality as well. interface is smooth and easy to hands-on. app references are given but you have to download all of them as you wish. cons: one and only disappointment. Sound. .sound quality is below par. equalisation definitely has some issue, you need to have remote in hand all the time to control e...READ MORE",4,Gopi Krishna
tv,Very GoodREAD MORE,5,Joy Thalikulam
tv,"Awesome product,value for money.Love you MI.READ MORE",5,Prashanth Kumar
tv,"I ordered on friday, and got the product delivered on sunday plus the installation was also done in the evening. Very great ful experience. Picture quality is superb. I mean u wont feel a difference if u run a normal video, go for UHD or 4k videos or atleast Full HD videos. Sound was loud, good. And I didnt faced any connectivity issues yet, I connected the TV with wifi and the Netflix and youtube was smooth. Patch wall 2.0 is quite nice feature. I recommend this TV. Thanks flipkart!READ MORE",5,Shubham Kumar
tv,Awesome tvREAD MORE,5,Kartikey tiwari
tv,Nice product value for the money.READ MORE,5,Gokul
tv,Good product is mi is my favoriteREAD MORE,5,Sunil Kumar
tv,"It is best in this price segment, I was not expecting too much from this but it just perfect. Sound, display, connectivity all good.READ MORE",5,Ranjan  Kirtti
tv,Excellent product and excellent service 👍👍👍👍👍READ MORE,5,JAGDISH  CHANDRA
tv,Super tv mi 5A sound 🔊 and picture and video superREAD MORE,4,Sriram By
tv,First i have to thanks to Flipkart delivered soon  and mi 5A 32inc  tv is superb fantastic mind blowing picture hawsome and connectivity is so fast  very good service and thankq a lot .READ MORE,5,shabab khan
tv,Super quality 😍👍READ MORE,4,Sree Das
tv,Buy it without any second thought....better than many other brand TVs and mi offers best service in the market. So if u want tension free and hassle free services and good smart tv just go for it.Ps- if u want installation prior then given time by Flipkart/Jeeves then go on mi site/app and book a free installation for ur tv. They are super fast and very good better than Jeeves/Flipkart saying from my personal opinion and experience.READ MORE,5,Manpreet  Singh
tv,"I didn't made a mistake by buying this fabulous TV. Picture, sound, and the quality of the tv is a top notch. Anyone planning to buy this tv can go ahead without any double mind. Worthy of Every money spent on this. Thanks Xiaomi and Flipkart.READ MORE",5,Robin John
